state,number_of_Trump_tweets,number_of_Biden_tweets
California,29889,25029
New York,22118,20325
Florida,16008,12775
Texas,15709,13662
District of Columbia,9358,6733
Pennsylvania,6809,5295
Illinois,6558,5335
New Jersey,4895,3856
Massachusetts,4608,3649
Ohio,3798,4371
Colorado,3531,2634
North Carolina,3292,2998
Michigan,2972,3017
Oregon,2932,2144
Georgia,2809,3121
Arizona,2775,3164
Washington,2645,2003
Virginia,2404,2146
Nevada,2291,2176
Missouri,2256,1741
Tennessee,2178,1952
Maryland,2070,2001
Minnesota,1789,1592
Indiana,1523,1530
Kentucky,1438,1158
Wisconsin,1436,1622
Connecticut,1125,867
Louisiana,1099,1003
South Carolina,1020,1090
Utah,905,799
Vermont,903,226
Kansas,856,851
Iowa,853,556
Alabama,836,847
Oklahoma,810,774
Hawaii,690,628
Arkansas,597,464
Idaho,575,390
Puerto Rico,499,472
New Mexico,480,432
North Dakota,434,273
Nebraska,390,370
Maine,386,305
Alaska,308,410
West Virginia,293,356
New Hampshire,266,369
Wyoming,262,233
Rhode Island,257,230
Mississippi,241,263
Delaware,237,275
Montana,167,283
South Dakota,65,71
-100.4458825,11,11
Guam,4,5
