California,25029
New York,20325
Texas,13662
Florida,12775
District of Columbia,6733
Illinois,5335
Pennsylvania,5295
Ohio,4371
New Jersey,3856
Massachusetts,3649
Arizona,3164
Georgia,3121
Michigan,3017
North Carolina,2998
Colorado,2634
Nevada,2176
Virginia,2146
Oregon,2144
Washington,2003
Maryland,2001
Tennessee,1952
Missouri,1741
Wisconsin,1622
Minnesota,1592
Indiana,1530
Kentucky,1158
South Carolina,1090
Louisiana,1003
Connecticut,867
Kansas,851
Alabama,847
Utah,799
Oklahoma,774
Hawaii,628
Iowa,556
Puerto Rico,472
Arkansas,464
New Mexico,432
Alaska,410
Idaho,390
Nebraska,370
New Hampshire,369
West Virginia,356
Maine,305
Montana,283
Delaware,275
North Dakota,273
Mississippi,263
Wyoming,233
Rhode Island,230
Vermont,226
South Dakota,71
-100.4458825,11
Guam,5
Northern Mariana Islands,1
