California,29889
New York,22118
Florida,16008
Texas,15709
District of Columbia,9358
Pennsylvania,6809
Illinois,6558
New Jersey,4895
Massachusetts,4608
Ohio,3798
Colorado,3531
North Carolina,3292
Michigan,2972
Oregon,2932
Georgia,2809
Arizona,2775
Washington,2645
Virginia,2404
Nevada,2291
Missouri,2256
Tennessee,2178
Maryland,2070
Minnesota,1789
Indiana,1523
Kentucky,1438
Wisconsin,1436
Connecticut,1125
Louisiana,1099
South Carolina,1020
Utah,905
Vermont,903
Kansas,856
Iowa,853
Alabama,836
Oklahoma,810
Hawaii,690
Arkansas,597
Idaho,575
Puerto Rico,499
New Mexico,480
North Dakota,434
Nebraska,390
Maine,386
Alaska,308
West Virginia,293
New Hampshire,266
Wyoming,262
Rhode Island,257
Mississippi,241
Delaware,237
Montana,167
South Dakota,65
-100.4458825,11
Guam,4
